Faixa Etária,Faixa Hora Contrat,Faixa Tempo Emprego,Escolaridade após 2005,Ind Portador Defic,Raça Cor,Vl Remun Dezembro Nom,Sexo Trabalhador,Tamanho Estabelecimento,Diretor TI,Gerente Infraestrutura TI,Gerente Desenvolvimento Sistemas,Gerente Operação TI,Gerente Projetos TI,Gerente Segurança Informação,Gerente Suporte Técnico TI,Tecnólogo Gestão TI,Engenheiro Aplicativos Computação,Engenheiro Equip Computação,Engenheiro Sist Oper Computação,Administrador Banco Dados,Administrador Redes,Administrador Sist Operacionais,Administrador Segur Informação,Analista Desenvolv Sistemas,Analista Redes Comunic Dados,Analista Sistemas Automação,Analista Suporte Computacional
3,5,6,5,0,1,2764.23,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4,4,5,5,0,1,2700.0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,5,2,5,0,1,1897.89,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,5,6,5,0,1,2909.34,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,5,5,5,0,1,2109.84,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,5,3,5,0,1,1888.33,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,5,5,5,0,1,2122.19,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,5,7,5,0,1,6325.62,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,5,7,5,0,1,6052.48,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,5,3,5,0,1,1996.42,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,5,6,5,0,1,3798.94,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,3,6,5,0,1,4813.2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,5,5,5,0,1,5133.72,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,5,3,5,0,1,2154.76,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,3,0,5,0,1,1212.67,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,5,5,5,0,1,1806.26,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,5,5,5,0,1,1801.5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,5,5,5,0,1,2085.2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,5,1,5,0,1,1298.85,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,5,5,5,0,1,3404.08,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
